Name: base_model.model.input_blocks.6.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.6.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.6.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.6.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.6.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.6.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.6.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.6.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.6.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.6.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.6.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.6.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.6.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.6.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.7.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.7.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.8.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.9.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.9.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.out_layers.0.weight, Requires_Grad: False
